team_id,full_name,abbreviation,city,state,arena,arenacapacity,owner,generalmanager,headcoach,year_founded,year_active_till
1610612737,Atlanta Hawks,ATL,Atlanta,Atlanta,State Farm Arena,18729,Tony Ressler,Travis Schlenk,Quin Snyder,1968,2019
1610612741,Chicago Bulls,CHI,Chicago,Illinois,United Center,21711,Michael Reinsdorf,Arturas Karnisovas,Billy Donovan,1966,2019
1610612742,Dallas Mavericks,DAL,Dallas,Texas,American Airlines Center,19200,Mark Cuban,Nico Harrison,Jason Kidd,1980,2019
1610612743,Denver Nuggets,DEN,Denver,Colorado,Ball Arena,0,Stan Kroenke,Calvin Booth,Michael Malone,1976,2019
1610612744,Golden State Warriors,GSW,Golden State,California,Chase Center,0,Joe Lacob,Bob Myers,Steve Kerr,1971,2019
1610612745,Houston Rockets,HOU,Houston,Texas,Toyota Center,18104,Tilman Fertitta,Rafael Stone,Ime Udoka,1971,2019
1610612746,Los Angeles Clippers,LAC,Los Angeles,California,Crypto.com Arena,19060,Steve Ballmer,Michael Winger,Tyronn Lue,1984,2019
1610612747,Los Angeles Lakers,LAL,Los Angeles,California,Crypto.com Arena,19060,Jeanie Buss,Rob Pelinka,Darvin Ham,1960,2019
1610612748,Miami Heat,MIA,Miami,Florida,Kaseya Center,19600,Micky Arison,Pat Riley,Erik Spoelstra,1988,2019
1610612749,Milwaukee Bucks,MIL,Milwaukee,Wisconsin,Fiserv Forum,17500,Wesley Edens &Â Marc Lasry,Jon Horst,Adrian Griffin,1968,2019
1610612750,Minnesota Timberwolves,MIN,Minnesota,Minnesota,Target Center,19356,Glen Taylor,Tim Connelly,Chris Finch,1989,2019
1610612751,Brooklyn Nets,BKN,Brooklyn,New York,Barclays Center,0,Joe Tsai,Sean Marks,Jacque Vaughn,2012,2019
1610612754,Indiana Pacers,IND,Indiana,Indiana,Gainbridge Fieldhouse ,18345,Herb Simon,Kevin Pritchard,Rick Carlisle,1976,2019
1610612755,Philadelphia 76ers,PHI,Philadelphia,Pennsylvania,Wells Fargo Center,0,Joshua Harris & David Blitzer,Elton Brand,Nick Nurse,1963,2019
1610612756,Phoenix Suns,PHX,Phoenix,Arizona,Footprint Center,0,Mat Ishbia,James Jones,Frank Vogel,1968,2019
1610612757,Portland Trail Blazers,POR,Portland,Oregon,Moda Center,19980,Jody Allen,Joe Cronin,Chauncey Billups,1970,2019
1610612758,Sacramento Kings,SAC,Sacramento,California,Golden 1 Center,17500,Vivek Ranadive,Monte McNair,Mike Brown,1985,2019
1610612759,San Antonio Spurs,SAS,San Antonio,Texas,AT&T Center,18694,Peter Holt,Brian Wright,Gregg Popovich,1976,2019
1610612760,Oklahoma City Thunder,OKC,Oklahoma City,Oklahoma,Paycom Center,0,Clay Bennett,Sam Presti,Mark Daigneault,2008,2019
1610612761,Toronto Raptors,TOR,Toronto,Ontario,Scotiabank Arena,0,Lawrence Tanenbaum,Masai Ujiri,No Data,1995,2019
1610612762,Utah Jazz,UTA,Utah,Utah,Delta Center,0,Ryan Smith,Justin Zanik,Will Hardy,1979,2019
1610612763,Memphis Grizzlies,MEM,Memphis,Tennessee,FedExForum,18119,Robert Pera,Zach Kleiman,Taylor Jenkins,2001,2019
1610612764,Washington Wizards,WAS,Washington,District of Columbia,Capital One Arena,20647,Ted Leonsis,Tommy Sheppard,Wes Unseld,1997,2019
1610612765,Detroit Pistons,DET,Detroit,Michigan,Little Caesars Arena,0,Tom Gores,Ed Stefanski,Monty Williams,1957,2019
1610612766,Charlotte Hornets,CHA,Charlotte,North Carolina,Spectrum Center,19026,Michael Jordan,Mitch Kupchak,Steve Clifford,2014,2019
1610610031,Unknown,UNK,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,0,0
0,Unknown,UNK,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,0,0
1610612752,Unknown,UNK,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,0,0
1610612753,Unknown,UNK,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,0,0
1610612739,Unknown,UNK,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,0,0
1610612740,Unknown,UNK,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,0,0
1610612738,Unknown,UNK,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,0,0
1610610024,Unknown,UNK,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,0,0
1610610028,Unknown,UNK,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,0,0
1610610025,Unknown,UNK,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,0,0
1610610034,Unknown,UNK,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,0,0
1610610030,Unknown,UNK,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,0,0
1610610036,Unknown,UNK,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,0,0
1610610026,Unknown,UNK,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,0,0
1610610037,Unknown,UNK,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,0,0
1610610029,Unknown,UNK,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,0,0
1610610027,Unknown,UNK,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,0,0
1610610032,Unknown,UNK,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,0,0
1610610033,Unknown,UNK,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,0,0
1610610035,Unknown,UNK,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,0,0
1610610023,Unknown,UNK,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,0,0
94,Unknown,UNK,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,0,0
12315,Unknown,UNK,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,0,0
12325,Unknown,UNK,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,0,0
1610616833,Unknown,UNK,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,0,0
12304,Unknown,UNK,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,0,0
1610616834,Unknown,UNK,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,0,0
12321,Unknown,UNK,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,0,0
12328,Unknown,UNK,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,0,0
93,Unknown,UNK,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,0,0
12329,Unknown,UNK,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,0,0
12330,Unknown,UNK,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,0,0
15018,Unknown,UNK,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,0,0
15016,Unknown,UNK,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,0,0
15017,Unknown,UNK,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,0,0
50009,Unknown,UNK,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,0,0
15019,Unknown,UNK,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown,0,0
